run_id,compute_per_candidate_step,system_per_candidate_step
FULL,2.1700046584170196,2.2674213271195187
S075,2.185564169639838,2.282806074031396
S050,2.1873796218904316,2.283374926203396
S025,2.197310943205957,2.295929921756033
T070,2.171912523152423,2.2687950779596577
T040,2.1735308197239647,2.2697232698774314
P020,2.2440164823288797,2.343353395178565
P005,2.2285847398263288,2.3260393241638666
P0025,2.223318741498224,2.318488109878672
SP_075_P020,2.250720233058382,2.349544570846774
SP_075_P005,2.2475767725831246,2.3446893153886776
SP_050_P020,2.253235251714068,2.3526425005329656
SP_050_P005,2.2504599445906934,2.3482674783532276
TP_070_P020,2.238253164233174,2.3367035077084437
TP_070_P005,2.245801147726888,2.3446702462562827
TP_040_P020,2.2317871767096222,2.3299876286953802
TP_040_P005,2.2293285933395963,2.329625137307448
P010,2.232237783833989,2.327809097660065
SP_075_P010,2.2496087391933544,2.3481719283925484
TP_070_P010,2.230430645005254,2.3286445276651646
ST_075_070,2.19531311601022,2.2914513608033302
ST_075_040,2.187441492904327,2.2831506942864506
ST_050_070,2.1883373231947187,2.283724259425071
ST_050_040,2.1855501453901525,2.2814385318633867
STP_075_070_P020,2.2496227376686875,2.346762795743416
STP_075_070_P010,2.246566999865172,2.3421735793090193
STP_075_070_P005,2.245494097088522,2.341097088242532
STP_050_070_P020,2.2486645521305038,2.34603367131931
STP_050_070_P010,2.249803506169701,2.346206160368456
STP_050_070_P005,2.253060371306492,2.351659588442999
