scenario,existing_label,open_label,compute_mismatch_pct,system_mismatch_pct,timing_valid,selected_for_performance
SP,SP_E_01,SP_O_14,0.017510089099184736,0.13532682148106748,True,True
TP,TP_E_03,TP_O_07,0.6679925147896014,0.37387969566780616,True,True
