scenario,residual_advantage_loss,budget_mismatch_pct,verdict
SP,-0.05026312510172526,0.017510089099184736,EXISTING_BETTER_OR_EQUAL
TP,0.01128793716430665,0.6679925147896014,OMITTED_BETTER
