run_id,compute_per_candidate_step,system_per_candidate_step
FULL,2.1700046584170196,2.2674213271195187
S075,2.185564169639838,2.282806074031396
S050,2.1873796218904316,2.283374926203396
S025,2.197310943205957,2.295929921756033
T070,2.171912523152423,2.2687950779596577
T040,2.1735308197239647,2.2697232698774314
P020,2.2440164823288797,2.343353395178565
P005,2.2285847398263288,2.3260393241638666
P0025,2.223318741498224,2.318488109878672
SP_075_P020,2.188813048688462,2.286675952181395
SP_075_P005,2.1855134106925105,2.2839095667455696
SP_050_P020,2.193314694997389,2.2896949313828374
SP_050_P005,2.196251923855743,2.294465119611414
TP_070_P020,2.1729383550424246,2.2690594112005784
TP_070_P005,2.1707325083421893,2.2663182237825823
TP_040_P020,2.1692461814323907,2.2682555987572415
TP_040_P005,2.1716181023250103,2.270169977757905
P010,2.232237783833989,2.327809097660065
SP_075_P010,2.2496087391933544,2.3481719283925484
TP_070_P010,2.230430645005254,2.3286445276651646
ST_075_070,2.19531311601022,2.2914513608033302
ST_075_040,2.187441492904327,2.2831506942864506
ST_050_070,2.1883373231947187,2.283724259425071
ST_050_040,2.1855501453901525,2.2814385318633867
STP_075_070_P020,2.2496227376686875,2.346762795743416
STP_075_070_P010,2.246566999865172,2.3421735793090193
STP_075_070_P005,2.245494097088522,2.341097088242532
STP_050_070_P020,2.2486645521305038,2.34603367131931
STP_050_070_P010,2.249803506169701,2.346206160368456
STP_050_070_P005,2.253060371306492,2.351659588442999
