run_id,axis,ratio_or_density,epoch,successful_updates,diag_raw_top1,diag_ema_top1,diag_val_loss,cumulative_train_compute_seconds,cumulative_train_system_seconds,cumulative_data_wait_seconds,candidate_samples_cumulative,selected_samples_cumulative,retained_tokens_cumulative,g_coordinates_mean,h_coordinates_mean,u_coordinates_mean,peak_memory_allocated,peak_memory_reserved
FULL,full,1.0,1,162,0.0,0.0,6.647836303710937,11.98195189749822,11.98195189749822,0.0,5344.0,5344.0,1047424,0.0,0.0,0.0,0,0
FULL,full,1.0,2,330,68.83333333333333,58.166666666666664,1.182592938741048,23.796510802814737,23.796510802814737,0.0,10720.0,10720.0,2101120,0.0,0.0,0.0,0,0
FULL,full,1.0,3,498,78.5,83.0,0.8890950012207032,35.017544552334584,35.017544552334584,0.0,16096.0,16096.0,3154816,0.0,0.0,0.0,0,0
FULL,full,1.0,4,666,80.66666666666667,86.33333333333333,0.9588092708587647,46.31707596103661,46.31707596103661,0.0,21472.0,21472.0,4208512,0.0,0.0,0.0,0,0
FULL,full,1.0,5,834,79.66666666666667,87.0,0.9189062722524007,57.938496489892714,57.938496489892714,0.0,26848.0,26848.0,5262208,0.0,0.0,0.0,0,0
FULL,full,1.0,6,1002,81.33333333333333,86.83333333333333,0.8545307381947835,69.30909452901687,69.30909452901687,0.0,32224.0,32224.0,6315904,0.0,0.0,0.0,0,0
FULL,full,1.0,7,1170,81.0,87.33333333333333,0.9023578770955404,80.61990868940484,80.61990868940484,0.0,37600.0,37600.0,7369600,0.0,0.0,0.0,0,0
FULL,full,1.0,8,1338,83.0,86.83333333333333,0.7892903423309326,91.80897592182737,91.80897592182737,0.0,42976.0,42976.0,8423296,0.0,0.0,0.0,0,0
FULL,full,1.0,9,1506,82.0,87.66666666666667,0.9744927565256755,102.91304635000415,102.91304635000415,0.0,48352.0,48352.0,9476992,0.0,0.0,0.0,0,0
FULL,full,1.0,10,1674,83.5,87.83333333333333,0.8489184315999349,114.19169406907167,114.19169406907167,0.0,53728.0,53728.0,10530688,0.0,0.0,0.0,0,0
FULL,full,1.0,11,1842,83.0,87.66666666666667,0.8842220528920491,125.55961220653262,125.55961220653262,0.0,59104.0,59104.0,11584384,0.0,0.0,0.0,0,0
FULL,full,1.0,12,2010,83.5,87.0,0.8744958273569743,137.37583988311235,137.37583988311235,0.0,64480.0,64480.0,12638080,0.0,0.0,0.0,0,0
FULL,full,1.0,13,2178,84.83333333333333,86.66666666666667,0.84732453028361,148.55057303095236,148.55057303095236,0.0,69856.0,69856.0,13691776,0.0,0.0,0.0,0,0
FULL,full,1.0,14,2346,84.5,86.83333333333333,0.8264013544718425,160.02762625727337,160.02762625727337,0.0,75232.0,75232.0,14745472,0.0,0.0,0.0,0,0
FULL,full,1.0,15,2514,84.16666666666667,85.66666666666667,0.8131490882237752,171.31086748372763,171.31086748372763,0.0,80608.0,80608.0,15799168,0.0,0.0,0.0,0,0
FULL,full,1.0,16,2682,85.33333333333333,87.0,0.859128344853719,182.73493645410053,182.73493645410053,0.0,85984.0,85984.0,16852864,0.0,0.0,0.0,0,0
FULL,full,1.0,17,2850,86.16666666666667,87.16666666666667,0.8613366381327311,194.01842136576306,194.01842136576306,0.0,91360.0,91360.0,17906560,0.0,0.0,0.0,0,0
FULL,full,1.0,18,3018,86.16666666666667,86.33333333333333,0.8531620121002197,205.4835503322538,205.4835503322538,0.0,96736.0,96736.0,18960256,0.0,0.0,0.0,0,0
FULL,full,1.0,19,3186,86.33333333333333,86.16666666666667,0.8766991265614827,216.580907780095,216.580907780095,0.0,102112.0,102112.0,20013952,0.0,0.0,0.0,0,0
FULL,full,1.0,20,3354,85.83333333333333,87.66666666666667,0.841036303838094,227.86022649309598,227.86022649309598,0.0,107488.0,107488.0,21067648,0.0,0.0,0.0,0,0
FULL,full,1.0,21,3522,84.66666666666667,86.66666666666667,0.9072006352742513,238.7500722744735,238.7500722744735,0.0,112864.0,112864.0,22121344,0.0,0.0,0.0,0,0
FULL,full,1.0,22,3690,86.66666666666667,86.16666666666667,0.9027468490600586,250.42347461974714,250.42347461974714,0.0,118240.0,118240.0,23175040,0.0,0.0,0.0,0,0
FULL,full,1.0,23,3858,85.66666666666667,86.33333333333333,0.866708116531372,261.9399985789787,261.9399985789787,0.0,123616.0,123616.0,24228736,0.0,0.0,0.0,0,0
FULL,full,1.0,24,4026,85.33333333333333,86.33333333333333,0.8449692217508952,273.0216386697721,273.0216386697721,0.0,128992.0,128992.0,25282432,0.0,0.0,0.0,0,0
FULL,full,1.0,25,4194,86.0,85.66666666666667,0.8403891658782959,284.39364844968077,284.39364844968077,0.0,134368.0,134368.0,26336128,0.0,0.0,0.0,0,0
FULL,full,1.0,26,4362,86.16666666666667,86.16666666666667,0.8669853178660075,295.67562733066734,295.67562733066734,0.0,139744.0,139744.0,27389824,0.0,0.0,0.0,0,0
FULL,full,1.0,27,4530,86.33333333333333,86.66666666666667,0.8446599356333415,306.9639002281474,306.9639002281474,0.0,145120.0,145120.0,28443520,0.0,0.0,0.0,0,0
FULL,full,1.0,28,4698,86.5,86.83333333333333,0.8329021962483724,318.1289639308816,318.1289639308816,0.0,150496.0,150496.0,29497216,0.0,0.0,0.0,0,0
FULL,full,1.0,29,4866,86.66666666666667,86.33333333333333,0.8446225007375081,329.20511169347446,329.20511169347446,0.0,155872.0,155872.0,30550912,0.0,0.0,0.0,0,0
FULL,full,1.0,30,5034,86.5,86.5,0.8445026652018229,340.35705826361664,340.35705826361664,0.0,161248.0,161248.0,31604608,0.0,0.0,0.0,0,0
S075,S,0.75,1,160,0.0,0.0,6.701238149007161,15.65825977071654,16.079571073991247,0.421311303274706,5344.0,4008.0,785568,0.0,0.0,0.0,0,0
S075,S,0.75,2,328,67.66666666666667,52.666666666666664,1.2926242510477701,31.228330742451362,32.12973244790919,0.9014017054578289,10720.0,8040.0,1575840,0.0,0.0,0.0,0,0
S075,S,0.75,3,496,77.5,82.66666666666667,0.8948753420511881,46.40532022470143,47.850648628897034,1.4453284041956067,16096.0,12072.0,2366112,0.0,0.0,0.0,0,0
S075,S,0.75,4,664,78.33333333333333,85.16666666666667,1.005346450805664,61.27549696806818,63.22934425261337,1.9538472845451906,21472.0,16104.0,3156384,0.0,0.0,0.0,0,0
S075,S,0.75,5,832,79.66666666666667,86.5,0.8849526691436768,75.4162078538211,77.81595718860626,2.399749334785156,26848.0,20136.0,3946656,0.0,0.0,0.0,0,0
S075,S,0.75,6,1000,80.16666666666667,87.16666666666667,0.9509820715586345,89.9502039969666,92.88409163278993,2.9338876358233392,32224.0,24168.0,4736928,0.0,0.0,0.0,0,0
S075,S,0.75,7,1168,80.16666666666667,87.33333333333333,0.853694338798523,104.4783255161019,108.12147788598668,3.643152369884774,37600.0,28200.0,5527200,0.0,0.0,0.0,0,0
S075,S,0.75,8,1336,84.0,87.0,0.839799173672994,118.83416319126263,122.95505879994016,4.120895608677529,42976.0,32232.0,6317472,0.0,0.0,0.0,0,0
S075,S,0.75,9,1504,83.0,86.33333333333333,0.8404061508178711,133.26593543356284,137.93113443430047,4.66519900073763,48352.0,36264.0,7107744,0.0,0.0,0.0,0,0
S075,S,0.75,10,1672,83.16666666666667,86.83333333333333,0.7726388168334961,148.02611581911333,153.36031883128453,5.334203012171201,53728.0,40296.0,7898016,0.0,0.0,0.0,0,0
S075,S,0.75,11,1840,83.5,86.0,0.8545854949951172,162.76854890130926,168.59813337191008,5.829584470600821,59104.0,44328.0,8688288,0.0,0.0,0.0,0,0
S075,S,0.75,12,2008,82.33333333333333,85.83333333333333,0.8340010356903076,177.8241839184193,184.1185430898331,6.2943591714138165,64480.0,48360.0,9478560,0.0,0.0,0.0,0,0
S075,S,0.75,13,2176,83.33333333333333,86.66666666666667,0.8967387294769287,192.79897295928095,199.58792635810096,6.788953398820013,69856.0,52392.0,10268832,0.0,0.0,0.0,0,0
S075,S,0.75,14,2344,84.5,86.33333333333333,0.8757915369669597,207.50942763418425,214.8559425744461,7.346514940261841,75232.0,56424.0,11059104,0.0,0.0,0.0,0,0
S075,S,0.75,15,2512,84.0,85.66666666666667,0.8655337905883789,222.3651495310478,230.1812884536339,7.816138922586106,80608.0,60456.0,11849376,0.0,0.0,0.0,0,0
S075,S,0.75,16,2680,83.0,86.5,0.9348499075571696,236.9593680666294,245.34376047563273,8.38439240900334,85984.0,64488.0,12639648,0.0,0.0,0.0,0,0
S075,S,0.75,17,2848,84.66666666666667,87.0,0.8102433268229167,251.31735843443312,260.3586687025381,9.041310268105008,91360.0,68520.0,13429920,0.0,0.0,0.0,0,0
S075,S,0.75,18,3016,85.0,87.83333333333333,0.8716394678751628,265.93782124551944,275.5301961997757,9.592374954256229,96736.0,72552.0,14220192,0.0,0.0,0.0,0,0
S075,S,0.75,19,3184,85.66666666666667,88.0,0.8447423458099366,279.4704602416605,289.6182876570383,10.147827415377833,102112.0,76584.0,15010464,0.0,0.0,0.0,0,0
S075,S,0.75,20,3352,85.5,86.83333333333333,0.857825927734375,294.52295488805976,305.23942237044685,10.716467482387088,107488.0,80616.0,15800736,0.0,0.0,0.0,0,0
S075,S,0.75,21,3520,86.5,86.83333333333333,0.8650881767272949,309.47869386931416,320.67802660970483,11.199332740390673,112864.0,84648.0,16591008,0.0,0.0,0.0,0,0
S075,S,0.75,22,3688,86.16666666666667,87.5,0.8643364175160726,323.85318490793,335.62797634338494,11.774791435454972,118240.0,88680.0,17381280,0.0,0.0,0.0,0,0
S075,S,0.75,23,3856,86.5,87.5,0.8729481093088786,339.4337408208521,351.7738637190778,12.340122898225673,123616.0,92712.0,18171552,0.0,0.0,0.0,0,0
S075,S,0.75,24,4024,86.83333333333333,87.0,0.8584336916605632,355.0281228418462,368.00424978591036,12.976126944064163,128992.0,96744.0,18961824,0.0,0.0,0.0,0,0
S075,S,0.75,25,4192,87.33333333333333,87.5,0.8466896025339762,369.84766516136006,383.3461422920227,13.49847713066265,134368.0,100776.0,19752096,0.0,0.0,0.0,0,0
S075,S,0.75,26,4360,87.33333333333333,87.33333333333333,0.8534794839223226,383.4974081048276,397.51539288496133,14.017984780133702,139744.0,104808.0,20542368,0.0,0.0,0.0,0,0
S075,S,0.75,27,4528,86.33333333333333,86.33333333333333,0.8585306072235107,399.10262197314296,413.69545316847507,14.59283119533211,145120.0,108840.0,21332640,0.0,0.0,0.0,0,0
S075,S,0.75,28,4696,86.5,86.83333333333333,0.8737043190002441,413.71056303114165,428.91822084772866,15.207657816587016,150496.0,112872.0,22122912,0.0,0.0,0.0,0,0
