run_id,candidate_step_count,successful_update_count,amp_skipped_steps,train_compute_seconds,data_wait_seconds,train_system_seconds,forward_seconds,backward_seconds,optimizer_seconds,sample_selection_seconds,g_selection_seconds,h_selection_seconds,mean_compute_per_candidate_step,mean_system_per_candidate_step,normalized_compute_cost,normalized_system_cost
FULL_START,180,180,0,12.409240949433297,0.5341487876139581,12.943389737047255,3.2272769012451166,6.146028263092038,1.8389918651580808,0.0,0.0,0.0,0.06894022749685165,0.07190772076137364,1.0,1.0
T040,180,180,0,13.539425204973668,0.7300899781985208,14.269515183172189,3.6945640773773185,6.585120910644534,2.030762403488158,0.0,0.0,0.0,0.07521902891652038,0.0792750843509566,1.0910760182791024,1.102455807409494
T055,180,180,0,12.937049586325884,0.5259763672947884,13.463025953620672,3.4959974670410157,6.303896986007692,1.9227255716323852,0.0,0.0,0.0,0.07187249770181046,0.07479458863122596,1.0425335150669865,1.040146841525299
P020,180,180,0,25.303924659849145,0.5176118573872373,25.82153651723638,2.9132450933456404,6.962983856201173,14.325438858032228,0.0,0.4106830714046956,0.8164070758782324,0.14057735922138415,0.14345298065131323,2.0391194564567403,1.9949593608642266
P005,180,180,0,25.110399097320624,0.5532250058604404,25.663624103181064,2.9526879920959463,6.6673180675506645,14.36121218872071,0.0,0.41722732740640633,0.49953862423636003,0.1395022172073368,0.14257568946211702,2.0235241784444002,1.9827591245070277
P010,180,180,0,22.543087366502732,0.49794645386282355,23.041033820365556,2.8903548192977917,6.341714435577393,12.238155582427979,0.0,0.40564361591637127,0.6432010525688526,0.12523937425834852,0.1280057434464753,1.8166370899206552,1.7801390739565146
S075,180,180,0,15.531242756755091,0.44495685619767755,15.976199612952769,2.879042072296141,6.065286233901976,1.6056068506240835,3.790833906037733,0.0,0.0,0.08628468198197273,0.08875666451640427,1.2515868472571137,1.2343134169270082
S050,180,180,0,16.09100005426444,0.5226348291616887,16.61363488342613,2.8059447355270386,6.806479078292847,1.531718592643738,3.7775377831421793,0.0,0.0,0.08939444474591356,0.0922979715745896,1.296694948533438,1.2835613561008445
FULL,180,180,0,11.652542594820261,0.37691573495976627,12.029458329780027,2.990957918167114,5.717561285018921,1.7593837194442739,0.0,0.0,0.0,0.06473634774900144,0.06683032405433348,0.9390213827182078,0.929390103687342
T085,180,180,0,12.770010351203382,0.46994984499178827,13.23996019619517,3.3957482624053963,6.356729015350341,1.8088716154098516,0.0,0.0,0.0,0.0709445019511299,0.0735553344233065,1.0290726405619968,1.0229128895268491
P0025,180,180,0,22.458369909087196,0.4848218532279134,22.94319176231511,2.884118279457095,6.557213256835939,11.94796183013916,0.0,0.40807020772993574,0.343931648110971,0.12476872171715109,0.12746217645730618,1.8098101246162699,1.7725798441072893
T070,180,180,0,12.467220749589615,0.4928829324198887,12.960103682009503,3.2972836780548103,6.14743332862854,1.8439051837921148,0.0,0.0,0.0,0.06926233749772008,0.07200057601116391,1.0046723083541194,1.0012913112640354
S025,180,180,0,15.929703113157302,0.49162415973842144,16.421327272895724,2.9617480068206783,6.319535352706912,1.6274075212478634,3.8282866629306227,0.0,0.0,0.08849835062865168,0.0912295959605318,1.2836968174016137,1.268703763581632
P050,180,180,0,23.175864865770563,0.42131066287402064,23.597175528644584,2.92173804473877,6.47881421470642,12.696283203125006,0.0,0.40277471986413005,0.7619868092238907,0.12875480480983648,0.131095419603581,1.8676295319117773,1.8231063120276365
FULL_END,180,180,0,11.618013101629913,0.4697598646162078,12.08777296624612,3.041033820152283,5.619747495651243,1.7574310116767884,0.0,0.0,0.0,0.0645445172312773,0.06715429425692289,0.9362388198417957,0.93389546415711
